ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LAT1,LONGITUD,LONG1,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO
3530535,Fuentes de beber,159,COSTILLARES,15,CIUDAD LINEAL,OPERATIVO,443892.05,4481542.01,ETRS89,4.048.267.430,40.483,-366.199.421,-3.662,CALLE,JAZMIN,49,28033,JUNTO ÁREA INFANTIL,20184185,2017-06-13 00:00:00.0,FUE_15_0120,FUE22,ZV,PERSONAS,MU-37B
3530545,Fuentes de beber,202,HELLIN,20,SAN BLAS - CANILLEJAS,OPERATIVO,447225.57,4475667.98,ETRS89,4.042.997.634,40.430,-362.217.735,-3.622,AVENIDA,ARCENTALES,4,28037,PARQUE PARAÍSO. JUNTO AUDITORIO,31041888,2017-05-31 00:00:00.0,FUE_20_0110,FUE22,ZV,PERSONAS,MU-37A
3530650,Fuentes de beber,83,PEÑAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,438.406.713,4480606.82,ETRS89,4.047.386.101,40.474,-372.661.785,-3.727,CALLE,JOAQUIN LORENZO,36,28035,EN EL PARQUE DE ENFRENTE,11044479,,FUE_08_0150,FUE22,ZV,PERSONAS,MU-37A
3530868,Fuentes de beber,16,SOL,1,CENTRO,OPERATIVO,439879.02,4474144.04,ETRS89,4.041.574.947,40.416,-370.863.858,-3.709,CALLE,CIUDAD RODRIGO,6,28012,cv Travesía de Bringas,11007722,2017-06-22 00:00:00.0,FUE_01_0044,FUE22,VP,PERSONAS,MU-37E
3531364,Fuentes de beber,84,PILAR,8,FUENCARRAL - EL PARDO,OPERATIVO,440030.6,4.480.481.601,ETRS89,4.047.285.183,40.473,-370.745.037,-3.707,CALLE,RIBADAVIA,45,28029,CALLE RIBADAVIA 27,31041111,2017-07-21 00:00:00.0,FUE_08_0062,FUE22,ZV,PERSONAS,MU-37A
3531374,Fuentes de beber,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,442326.73,4484307.87,ETRS89,4.050.748.300,40.507,-368.071.331,-3.681,AVENIDA,SANTO DOMINGO DE LA CALZADA,1,28050,C/V CALLE DEL CASTILLO DE CANDANCHÚ,31040770,,FUE_08_0151,FUE22,ZV,PERSONAS,EGEA
3565789,Fuentes de beber,32,ADELFAS,3,RETIRO,OPERATIVO,442951.19,4471915.44,ETRS89,4.039.588.928,40.396,-367.222.995,-3.672,CALLE,CERRO NEGRO,12,28007,,31041013,,FUE_03_0046,FUE22,ZV,PERSONAS,MU-37A
3565880,Fuentes de beber,92,ARGÜELLES,9,MONCLOA - ARAVACA,OPERATIVO,439045.75,4475290.37,ETRS89,4.042.601.550,40.426,-371.856.937,-3.719,PASEO,PINTOR ROSALES,16,28008,cv Calle Rey Francisco,11052506,2017-08-11 00:00:00.0,FUE_09_0056,FUE22,VP,PERSONAS,MU-37A
3567461,Fuentes de beber,14,JUSTICIA,1,CENTRO,OPERATIVO,440629.77,4475283.34,ETRS89,4.042.606.672,40.426,-369.989.657,-3.700,CALLE,BENEFICENCIA,8,28004,JARDINES DEL ARQUITECTO RIBERA JUNTO A PARQUE INFANTIL,11005217,2017-10-09 00:00:00.0,FUE_01_0045,FUE22,ZV,PERSONAS,FUENTE_ACCESIBLE
3568639,Fuentes de beber,25,DELICIAS,2,ARGANZUELA,OPERATIVO,441238.39,4471659.4,ETRS89,4.039.346.365,40.393,-369.238.758,-3.692,CALLE,HIERRO,2,28045,CON VUELTA CALLE GRANITO,31064800,2017-10-05 00:00:00.0,FUE_02_0053,FUE22,VP,PERSONAS,MU-37A
3568641,Fuentes de beber,83,PEÑAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,439182.94,4481256.07,ETRS89,4.047.976.688,40.480,-371.752.362,-3.718,CALLE,FERMIN CABALLERO,84,28035,CON VUELTA CALLE SANTIAGO DE COMPOSTELA,31010701,2017-10-02 00:00:00.0,FUE_08_0153,FUE22,ZV,PERSONAS,MU-37A
3568801,Fuentes de beber,156,SAN JUAN BAUTISTA,15,CIUDAD LINEAL,OPERATIVO,444277.24,4477934.22,ETRS89,4.045.019.953,40.450,-365.713.296,-3.657,PLAZA,VALVANERA,5,28043,JUNTO ACERA C/ ALBELDA,31015964,2021-03-12 00:00:00.0,FUE_15_0122,FUE22,ZV,PERSONAS,PIEDRA VP
3569158,Fuentes de beber,65,VALDEACEDERAS,6,TETUAN,OPERATIVO,440375.5,4479413.31,ETRS89,4.046.325.307,40.463,-370.328.153,-3.703,CALLE,MARQUES DE VIANA,58,28039,FRENTE AL COLEGIO,11035958,2017-10-24 00:00:00.0,FUE_06_0082,FUE22,VP,PERSONAS,MU-37A
3569414,Fuentes de beber,31,PACIFICO,3,RETIRO,NO_OPERATIVO,443.082.600,4.473.087.480,ETRS89,4.040.645.666,40.406,-367.078.638,-3.671,PLAZA,CONDE DE CASAL,10,28007,,31047387,2020-06-30 00:00:00.0,FUE_03_0052,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
3569415,Fuentes de beber,84,PILAR,8,FUENCARRAL - EL PARDO,OPERATIVO,439950.08,4481131.74,ETRS89,4.047.870.270,40.479,-370.846.174,-3.708,AVENIDA,MONFORTE DE LEMOS,36,28029,,31049013,2017-10-31 00:00:00.0,FUE_08_0154,FUE22,VP,PERSONAS,MU-37B
3569446,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS - CANILLEJAS,OPERATIVO,448322.86,4477750.53,ETRS89,4.044.880.610,40.449,-360.941.108,-3.609,CALLE,ALCALA,629,28022,INTERCAMBIADOR CANILLEJAS,20052950,2017-10-31 00:00:00.0,FUE_20_0111,FUE22,VP,PERSONAS,MU-37A
3576061,Fuentes de beber,205,ROSAS,20,SAN BLAS - CANILLEJAS,OPERATIVO,448497.27,4475361.42,ETRS89,4.042.729.436,40.427,-360.716.078,-3.607,CALLE,CARLOS II,2,28022,JUNTO ÁREA INFANTIL,20084930,2017-11-08 00:00:00.0,FUE_20_0112,FUE22,VP,PERSONAS,MU-37A
3576073,Fuentes de beber,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,449.778.420,4.468.821.520,ETRS89,4.036.845.669,40.368,-359.154.233,-3.592,CALLE,ALTO DEL RETIRO,13,28051,"ENTRE FAROLAS 28 Y 30, PROXIMO A GTA. C/ ANTONIO GADES",31045486,2017-10-17 00:00:00.0,FUE_18_0053,FUE22,VP,PERSONAS,MU-S37A
3576085,Fuentes de beber,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,449610.60,4468080.21,ETRS89,4.036.176.829,40.362,-359.346.035,-3.593,CALLE,FERNANDO CHUECA GOITIA,31,28051,C/V Mª TERESA LEON,31056617,2017-11-16 00:00:00.0,FUE_18_0054,FUE22,VP,PERSONAS,MU-S37A
3576087,Fuentes de beber,134,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,OPERATIVO,445346.51,4470606.54,ETRS89,4.038.425.853,40.384,-364.389.431,-3.644,CALLE,EXTREMEÑOS,5,28018,Parque del Campo de la Paloma,20139499,,FUE_13_0155,FUE22,ZV,PERSONAS,MU-37A
3581346,Fuentes de beber,174,LOS ROSALES,17,VILLAVERDE,OPERATIVO,441.207.173,4.466.924.162,ETRS89,4.035.080.376,40.351,-369.231.869,-3.692,CALLE,SANTA PETRONILA,7,28021,CV CALLE JOSE DEL PINO,20182856,2017-11-21 00:00:00.0,FUE_17_0121,FUE22,ZV,PERSONAS,MU-S37A
3655196,Fuentes de beber,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441167.05,4482813.08,ETRS89,4.049.393.596,40.494,-369.426.114,-3.694,CALLE,MATARO,2,28034,,11048281,2017-12-01 00:00:00.0,FUE_08_0113,FUE22,ZV,PERSONAS,MU-37A
4738570,Fuentes de beber,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,435049.06,4468488.26,ETRS89,4.036.443.708,40.364,-376.498.734,-3.765,CALLE,TORTA,3,28054,CON C/PATRIMONIO DE LA HUMANIDAD,31006215,2017-09-15 00:00:00.0,FUE_11_0129,FUE22,VP,PERSONAS,MU-37A
4784163,Fuentes de beber,192,VALDEBERNARDO,19,VICALVARO,OPERATIVO,447553.3,4472469.97,ETRS89,4.040.118.738,40.401,-361.805.017,-3.618,CALLE,CORDEL DE PAVONES,12 B,28032,Parque Valdebernardo Este,20124177,2018-04-02 00:00:00.0,FUE_19_0115,FUE22,ZV,PERSONAS,MU-37A
4784586,Fuentes de beber,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438429.37,4482666.43,ETRS89,4.049.241.632,40.492,-372.655.061,-3.727,CALLE,MENCHU AJAMIL,2,28049,CV CALLE MARIA TERESA DE CALCUTA,31049743,,FUE_08_0155,FUE22,ZV,PERSONAS,EGEA
4795658,Fuentes de beber,16,SOL,1,CENTRO,OPERATIVO,440031.29,4474322.66,ETRS89,4.041.736.955,40.417,-370.686.076,-3.707,CALLE,ARENAL,18,28013,,11007831,2018-06-29 00:00:00.0,FUE_01_0046,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
4795801,Fuentes de beber,121,ORCASITAS,12,USERA,OPERATIVO,439808.91,4469323.11,ETRS89,4.037.231.507,40.372,-370.900.922,-3.709,AVENIDA,POBLADOS,144,28041,FRENTE ESCUELA INFANTIL,31009783,2018-06-04 00:00:00.0,FUE_12_0069,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
4796090,Fuentes de beber,117,ABRANTES,11,CARABANCHEL,OPERATIVO,438908.31,4470722.41,ETRS89,4.038.485.514,40.385,-371.975.101,-3.720,CALLE,VIANA,1,28025,JUNTO ZONA INFANTIL,11079428,2018-07-13 00:00:00.0,FUE_11_0130,FUE22,ZV,PERSONAS,FUENTE_ACCESIBLE
4796261,Fuentes de beber,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,442762.33,4484338.64,ETRS89,4.050.779.036,40.508,-367.557.508,-3.676,CALLE,SAN JUAN DE ORTEGA,90,28050,JUNTO A UNA ZONA VERDE Y UNA ZONA INFANTIL,31023640,2018-07-23 00:00:00.0,FUE_08_0158,FUE22,VP,PERSONAS,MU-37A
4798069,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445032.33,4479915.90,ETRS89,4.046.810.179,40.468,-364.840.042,-3.648,GLORIETA,FRANCISCO FERNANDEZ ORDOÑEZ,4,28043,JUNTO Nº 47 AVDA. GRAN VÍA DE HORTALEZA,20123605,2018-08-21 00:00:00.0,FUE_16_0154,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
4813533,Fuentes de beber,163,CANILLAS,16,HORTALEZA,OPERATIVO,446725.49,4479468.28,ETRS89,4.046.417.970,40.464,-362.839.142,-3.628,CALLE,EL PROVENCIO,16,28043,JUNTO ÁREA INFANTIL,20063258,,FUE_16_0168,FUE22,ZV,PERSONAS,MU-37A
4813550,Fuentes de beber,35,LOS JERONIMOS,3,RETIRO,OPERATIVO,442085.58,4473289.53,ETRS89,4.040.820.807,40.408,-368.255.413,-3.683,CALLE,JUAN VALERA,26,28014,C/V C/ANDRES TORREJON,11013002,2020-07-15 00:00:00.0,FUE_03_0057,FUE22,VP,PERSONAS,MU-37A
4813553,Fuentes de beber,33,ESTRELLA,3,RETIRO,OPERATIVO,443512.78,4473613.83,ETRS89,4.041.122.761,40.411,-366.576.365,-3.666,CALLE,ESTRELLA POLAR,13,28007,C/V CALLE PEZ AUSTRAL,11011956,2020-07-14 00:00:00.0,FUE_03_0054,FUE22,VP,PERSONAS,MU-37A
4940126,Fuentes de beber,165,APOSTOL SANTIAGO,16,HORTALEZA,OPERATIVO,443791.53,4480397.91,ETRS89,4.047.236.093,40.472,-366.307.872,-3.663,CALLE,JULIO DANVILA,28,28033,ZONA INFANTIL,11121437,2018-10-09 00:00:00.0,FUE_16_0155,FUE22,VP,PERSONAS,MU-S37A
4961115,Fuentes de beber,75,RIOS ROSAS,7,CHAMBERI,OPERATIVO,440756.59,4477524.93,ETRS89,4.044.626.901,40.446,-369.861.061,-3.699,CALLE,PONZANO,100,28003,cv Raimundo Fdez Villaverde,31006753,2018-10-15 00:00:00.0,FUE_07_0021,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
4963663,Fuentes de beber,146,VINATEROS,14,MORATALAZ,OPERATIVO,444.799.980,4.472.954.920,ETRS89,4.040.537.813,40.405,-365.053.637,-3.651,CALLE,HACIENDA DE PAVONES,1,28030,"JUNTO FAROLA 1 Y QUIOSCO, EN PLAZA DEL ENCUENTRO",31043377,2018-10-23 00:00:00.0,FUE_14_0100,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
4988124,Fuentes de beber,83,PEÑAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,439366.88,4481654.65,ETRS89,4.048.337.088,40.483,-371.539.177,-3.715,AVENIDA,VENTISQUERO DE LA CONDESA,2,28035,,20079569,,FUE_08_0160,FUE22,ZV,PERSONAS,MU-37B
4989817,Fuentes de beber,92,ARGÜELLES,9,MONCLOA - ARAVACA,OPERATIVO,439374.18,4475539.53,ETRS89,4.042.828.404,40.428,-371.472.167,-3.715,CALLE,PRINCESA,33,28008,CV CALLE REY FRANCISCO,11052549,2018-12-28 00:00:00.0,FUE_09_0062,FUE22,VP,PERSONAS,MU-37A
4991388,Fuentes de beber,73,TRAFALGAR,7,CHAMBERI,OPERATIVO,440472.47,4475637.17,ETRS89,4.042.924.294,40.429,-370.178.393,-3.702,GLORIETA,BILBAO,5,28004,CV CALLE LUCHANA,11039861,2019-01-17 00:00:00.0,FUE_07_0022,FUE22,VP,PERSONAS,MU-37B
4995656,Fuentes de beber,62,CUATRO CAMINOS,6,TETUAN,OPERATIVO,441188.87,4477844.94,ETRS89,4.044.918.249,40.449,-369.354.307,-3.694,PLAZA,PABLO RUÍZ PICASSO,6,28020,junto a pistas deportivas,31065188,,FUE_06_0083,FUE22,ZV,PERSONAS,CARMEL
4996359,Fuentes de beber,94,VALDEZARZA,9,MONCLOA - ARAVACA,OPERATIVO,438993.81,4480057.37,ETRS89,4.046.895.470,40.469,-371.963.953,-3.720,CALLE,VALDERRODRIGO,46,28035,,11054493,,FUE_09_0123,FUE22,ZV,PERSONAS,MU-37A
4998043,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,448252.52,4482847.33,ETRS89,4.049.471.652,40.495,-361.065.632,-3.611,AVENIDA,SECUNDINO ZUAZO,134,28055,,31039692,,FUE_16_0157,FUE22,ZV,PERSONAS,MU-37A
4998045,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,448562.69,4483546.41,ETRS89,4.050.103.348,40.501,-360.705.305,-3.607,AVENIDA,FRANCISCO JAVIER SAENZ DE OIZA,15,28055,CALLE DE ANTONIO FLOREZ,31035676,,FUE_16_0159,FUE22,ZV,PERSONAS,MU-37A
5007925,Fuentes de beber,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,442.612.023,4.483.782.246,ETRS89,4.050.276.776,40.503,-367.729.861,-3.677,AVENIDA,PUENTE LA REINA,48,28050,PZA. INT. CASTILLO DE JACA JUNTO A LA ZONA INFANTIL,31010570,2019-02-28 00:00:00.0,FUE_08_0161,FUE22,ZV,PERSONAS,CASTIZA
5034853,Fuentes de beber,13,CORTES,1,CENTRO,OPERATIVO,440345.47,4474000.18,ETRS89,4.041.448.707,40.414,-370.312.749,-3.703,PLAZA,JACINTO BENAVENTE,2,28012,c/v Plaza del Ángel,11003682,2019-03-14 00:00:00.0,FUE_01_0050,FUE22,ZV,PERSONAS,MU-37A
5034922,Fuentes de beber,181,CASCO HISTORICO DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,446.377.561,4.468.534.354,ETRS89,4.036.565.789,40.366,-363.157.347,-3.632,CALLE,ISLA DE GUAM,60,28031,ZONA VERDE  Y LAMINA DE AGUA,31042407,2019-03-14 00:00:00.0,FUE_18_0058,FUE22,ZV,PERSONAS,MU-37B
5069011,Fuentes de beber,27,ATOCHA,2,ARGANZUELA,OPERATIVO,442359.46,4472086.99,ETRS89,4.039.739.395,40.397,-367.921.762,-3.679,CALLE,JACARANDA,13,28045,C/V ALMEZ,20140597,2019-04-04 00:00:00.0,FUE_02_0057,FUE22,ZV,PERSONAS,MU-37A
5069025,Fuentes de beber,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,439.380.750,4.472.628.010,ETRS89,4.040.205.623,40.402,-371.436.677,-3.714,CALLE,TOLEDO,178,28005,JUNTO AREA INFANTIL,20084999,2019-04-05 00:00:00.0,FUE_02_0059,FUE22,ZV,PERSONAS,MU-37A
5069030,Fuentes de beber,22,ACACIAS,2,ARGANZUELA,OPERATIVO,440602.84,4472491.95,ETRS89,4.040.091.860,40.401,-369.995.340,-3.700,PASEO,JUAN ANTONIO VALLEJO-NAJERA BOTAS,1,28005,C/V GLORIETA SANTA MARÍA DE LA CABEZA 13,31042018,2019-04-04 00:00:00.0,FUE_02_0060,FUE22,ZV,PERSONAS,MU-37A
5074610,Fuentes de beber,52,PROSPERIDAD,5,CHAMARTIN,OPERATIVO,443342.73,4477507,ETRS89,4.044.628.776,40.446,-366.811.472,-3.668,CALLE,CLARA DEL REY,61,28002,C/V C/RAMOS CARRION,20009496,2019-04-15 00:00:00.0,FUE_05_0080,FUE22,VP,PERSONAS,MU-37A
5074625,Fuentes de beber,127,PRADOLONGO,12,USERA,OPERATIVO,440211.82,4469319.32,ETRS89,4.037.230.993,40.372,-370.426.321,-3.704,PARQUE,PRADOLONGO,13C,28041,Junto farolín 304. Próxima a entrada parque C/V Dr. Tolosa Latour,31018213,2019-04-26 00:00:00.0,FUE_12_0070,FUE22,ZV,PERSONAS,CASTIZA
5074629,Fuentes de beber,123,SAN FERMIN,12,USERA,OPERATIVO,441.502.390,4.468.578.040,ETRS89,4.036.572.363,40.366,-368.899.423,-3.689,CALLE,SILVINA,35,28041,"FRENTE FAROLA 22, JUNTO AREA INFANTIL",20141724,2019-04-23 00:00:00.0,FUE_12_0071,FUE22,ZV,PERSONAS,CASTIZA
5074661,Fuentes de beber,122,ORCASUR,12,USERA,OPERATIVO,440450.47,4468610.37,ETRS89,4.036.594.040,40.366,-370.138.606,-3.701,AVENIDA,ORCASUR,53,28041,JUNTO PISTAS DEPORTIVAS,20142301,2019-04-12 00:00:00.0,FUE_12_0072,FUE22,VP,PERSONAS,CASTIZA
5104802,Fuentes de beber,122,ORCASUR,12,USERA,OPERATIVO,440902.67,4468658.29,ETRS89,4.036.640.427,40.366,-369.606.478,-3.696,CALLE,GINEBRO,7,28041,CALLE TUYA  4,20046752,2019-04-15 00:00:00.0,FUE_12_0073,FUE22,ZV,PERSONAS,CASTIZA
5106389,Fuentes de beber,103,LUCERO,10,LATINA,OPERATIVO,436.374.350,4.473.303.500,ETRS89,4.040.791.701,40.408,-374.986.037,-3.750,CALLE,VILLAMANIN,18,28011,ENTRE FAROLA 11 Y AREA INFANTIL,11064021,2019-04-30 00:00:00.0,FUE_10_0115,FUE22,ZV,PERSONAS,CASTIZA
5106392,Fuentes de beber,107,AGUILAS,10,LATINA,OPERATIVO,434.735.950,4.470.474.980,ETRS89,4.038.230.981,40.382,-376.887.822,-3.769,CALLE,ANSELMO LORENZO,17,28044,"PARQUE DE LOS TRES MOSQUETEROS, PROXIMO A INSTALACION DEPORTIVA",11068697,2019-05-10 00:00:00.0,FUE_10_0113,FUE22,ZV,PERSONAS,CASTIZA
5106551,Fuentes de beber,107,AGUILAS,10,LATINA,OPERATIVO,433.838.760,4.470.389.900,ETRS89,4.038.147.262,40.381,-377.943.829,-3.779,AVENIDA,LAS AGUILAS,72,28044,"PARQUE CLARA CAMPOAMOR, JUNTO AREAS INFANTILES",11067494,2019-05-14 00:00:00.0,FUE_10_0114,FUE22,ZV,PERSONAS,CASTIZA
5106805,Fuentes de beber,215,CORRALEJOS,21,BARAJAS,OPERATIVO,449704.7,4479807.43,ETRS89,4.046.742.065,40.467,-359.327.932,-3.593,CALLE,BAHIA DE SANTA POLA,68,28042,frente nº 68,20143672,2019-05-22 00:00:00.0,FUE_21_0060,FUE22,ZV,PERSONAS,CASTIZA
5106820,Fuentes de beber,214,TIMON,21,BARAJAS,OPERATIVO,449810.14,4480009.97,ETRS89,4.046.925.163,40.469,-359.205.165,-3.592,CALLE,MISTRAL,111,28042,"Farola 41, junto a senda verde",31061077,2019-05-23 00:00:00.0,FUE_21_0058,FUE22,VP,PERSONAS,CASTIZA
5107502,Fuentes de beber,11,PALACIO,1,CENTRO,OPERATIVO,439737.76,4474945.45,ETRS89,4.042.295.872,40.423,-371.037.940,-3.710,CALLE,GRAN VIA,69,28013,,11000110,2019-04-30 00:00:00.0,FUE_01_0054,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
5107503,Fuentes de beber,13,CORTES,1,CENTRO,NO_OPERATIVO,440824.97,4474488.94,ETRS89,4.041.892.429,40.419,-369.752.166,-3.698,CALLE,CABALLERO DE GRACIA,40,28013,C/V GRAN VÍA 1,31008869,2019-04-30 00:00:00.0,FUE_01_0055,FUE22,VP,PERSONAS,FUENTE_ACCESIBLE
5108205,Fuentes de beber,145,FONTARRON,14,MORATALAZ,OPERATIVO,444373.33,4473031.85,ETRS89,4.040.604.276,40.406,-365.557.089,-3.656,AVENIDA,MORATALAZ,91 B,28030,PARQUE DARWIN  JUEGOS INFANTILES,11101879,2019-05-13 00:00:00.0,FUE_14_0104,FUE22,ZV,PERSONAS,MU-37A
5110229,Fuentes de beber,13,CORTES,1,CENTRO,OPERATIVO,441001.17,4473841.53,ETRS89,4.041.310.462,40.413,-369.538.481,-3.695,CALLE,HUERTAS,71,28014,C/V CALLE JESÚS,11003476,2019-06-06 00:00:00.0,FUE_01_0061,FUE22,ZV,PERSONAS,MU-37A
5124693,Fuentes de beber,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441518.69,4483623.18,ETRS89,4.050.125.850,40.501,-369.018.667,-3.690,PLAZA,TRES OLIVOS,26,28034,FRENTE Nº26,20150231,2019-06-05 00:00:00.0,FUE_08_0162,FUE22,ZV,PERSONAS,CASTIZA
